calories,protein_g,carbs_g,fat_g,fiber_g
177.0,21.24,7.46,6.12,0.0
172.0,16.89,8.14,7.66,0.4
181.0,17.69,8.86,7.94,0.2
310.0,0.09,76.37,0.45,0.2
88.0,0.21,2.1,2.38,0.0
58.0,0.9,0.27,0.0,0.0
68.0,0.0,10.07,0.0,0.0
150.0,2.12,1.77,15.0,0.0
122.0,2.07,2.65,11.54,0.4
171.0,6.52,1.44,15.34,0.0
148.0,6.47,2.15,12.53,0.3
156.0,6.87,1.44,13.6,0.0
133.0,6.83,2.15,10.79,0.3
145.0,5.91,1.99,12.46,0.0
122.0,5.87,2.7,9.66,0.3
374.0,10.98,44.88,16.99,4.2
397.0,13.34,39.43,20.68,4.9
195.0,15.66,4.46,13.16,1.2
43.0,0.57,7.44,1.2,0.1
20.0,0.54,1.53,1.21,0.0
30.0,0.53,4.31,1.18,0.0
15.0,0.55,0.34,1.22,0.0
458.0,9.0,47.81,27.74,4.8
15.0,0.0,3.75,0.0,0.0
75.0,0.81,16.45,0.98,2.0
373.0,7.63,66.99,8.38,1.4
158.0,11.62,3.75,10.7,1.1
46.0,0.1,11.3,0.13,0.2
22.0,0.0,5.1,0.1,0.0
48.0,0.09,11.34,0.25,0.2
48.0,0.12,11.49,0.17,0.3
100.0,0.1,26.1,0.1,1.0
180.0,1.45,12.2,14.24,2.0
113.0,0.32,22.7,3.08,2.5
134.0,1.34,29.61,2.15,1.8
75.0,0.25,17.97,0.17,1.0
75.0,0.25,17.97,0.17,1.0
52.0,0.27,12.26,0.16,1.1
56.0,0.17,13.63,0.45,0.1
57.0,0.65,13.85,0.17,1.5
267.0,5.66,30.47,14.0,2.4
159.0,28.08,0.0,4.34,0.0
53.0,2.89,11.95,0.34,5.7
331.0,3.86,5.78,32.67,0.9
160.0,5.33,22.28,5.94,3.9
116.0,10.24,8.11,5.26,1.8
130.0,11.44,9.5,5.46,1.9
71.0,2.01,9.65,2.84,2.8
50.0,2.07,9.93,0.3,2.9
38.0,2.09,2.4,2.82,1.6
45.0,2.08,2.39,3.54,1.6
41.0,2.09,2.39,3.18,1.6
19.0,2.14,2.46,0.65,1.6
42.0,2.31,4.05,2.48,2.2
49.0,2.29,4.04,3.25,2.2
45.0,2.3,4.04,2.86,2.2
21.0,2.36,4.16,0.13,2.3
37.0,2.87,1.87,2.59,1.5
44.0,2.86,1.86,3.31,1.5
40.0,2.86,1.86,2.95,1.5
18.0,2.94,1.91,0.42,1.6
45.0,2.3,4.04,2.86,2.2
86.0,1.69,16.28,1.54,0.2
83.0,1.74,15.46,1.58,0.2
103.0,1.8,20.3,1.78,0.6
281.0,14.43,36.1,8.63,1.2
326.0,1.8,2.0,35.0,0.2
382.0,13.71,29.26,23.2,1.6
309.0,11.69,5.31,29.52,2.6
229.0,12.02,27.53,7.76,3.4
231.0,10.89,29.71,7.54,1.7
253.0,13.33,4.8,20.0,0.0
264.0,10.56,52.38,1.32,1.6
451.0,12.34,66.36,15.14,4.1
250.0,10.2,48.89,1.53,4.1
255.0,9.51,51.93,1.4,4.1
250.0,10.2,48.89,1.53,4.1
250.0,10.2,48.89,1.53,4.1
250.0,10.2,48.89,1.53,4.1
250.0,10.2,48.89,1.53,4.1
263.0,9.52,50.78,2.77,4.4
255.0,9.51,51.93,1.4,4.1
250.0,10.2,48.89,1.53,4.1
250.0,10.2,48.89,1.53,4.1
255.0,9.51,51.93,1.4,4.1
243.0,9.55,48.36,1.25,1.7
268.0,9.83,55.07,1.21,1.9
105.0,4.52,21.57,0.89,4.4
116.0,4.38,23.29,1.35,4.3
104.0,4.77,20.35,0.4,5.5
94.0,4.75,21.14,0.37,4.1
440.0,6.58,37.55,29.34,2.5
41.0,1.68,3.13,2.94,1.4
74.0,0.26,18.01,0.13,0.6
160.0,2.57,28.0,4.26,0.7
199.0,2.42,32.59,6.88,1.0
161.0,0.82,32.43,3.21,1.8
273.0,11.17,39.78,7.58,1.2
268.0,6.73,54.27,2.94,3.4
240.0,17.02,23.3,8.52,2.0
245.0,16.48,24.86,8.5,0.8
252.0,27.97,0.0,15.15,0.0
228.0,19.83,12.23,10.79,0.3
167.0,19.0,12.23,4.64,0.3
199.0,16.47,23.3,4.42,2.0
204.0,15.92,24.86,4.4,0.8
226.0,18.14,12.23,11.17,0.3
238.0,15.52,23.3,8.86,2.0
243.0,14.97,24.86,8.83,0.8
249.0,24.75,0.0,15.87,0.0
