description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,Cluster,meal_type
Abalone,Survey (FNDDS),177.0,21.24,7.46,6.12,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Adobo, with noodles",Survey (FNDDS),172.0,16.89,8.14,7.66,0.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Adobo, with rice",Survey (FNDDS),181.0,17.69,8.86,7.94,0.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Agave liquid sweetener,Survey (FNDDS),310.0,0.09,76.37,0.45,0.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Alcoholic coffee drink,Survey (FNDDS),88.0,0.21,2.1,2.38,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Alcoholic malt beverage,Survey (FNDDS),58.0,0.9,0.27,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Alcoholic malt beverage, sweetened",Survey (FNDDS),68.0,0.0,10.07,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Alfredo sauce,Survey (FNDDS),150.0,2.12,1.77,15.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Alfredo sauce with added vegetables,Survey (FNDDS),122.0,2.07,2.65,11.54,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Alfredo sauce with meat,Survey (FNDDS),171.0,6.52,1.44,15.34,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Alfredo sauce with meat and added vegetables,Survey (FNDDS),148.0,6.47,2.15,12.53,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Alfredo sauce with poultry,Survey (FNDDS),156.0,6.87,1.44,13.6,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Alfredo sauce with poultry and added vegetables,Survey (FNDDS),133.0,6.83,2.15,10.79,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Alfredo sauce with seafood,Survey (FNDDS),145.0,5.91,1.99,12.46,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Alfredo sauce with seafood and added vegetables,Survey (FNDDS),122.0,5.87,2.7,9.66,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Almond butter,Survey (FNDDS),374.0,10.98,44.88,16.99,4.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Almond butter and jelly sandwich, on wheat bread",Survey (FNDDS),397.0,13.34,39.43,20.68,4.9,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Almond butter and jelly sandwich, on white bread",Survey (FNDDS),195.0,15.66,4.46,13.16,1.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Almond butter sandwich, on wheat bread",Survey (FNDDS),43.0,0.57,7.44,1.2,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
