fdcId,description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2706337,Abalone,Survey (FNDDS),177,21.24,7.46,6.12,0,
2708809,"Adobo, with noodles",Survey (FNDDS),172,16.89,8.14,7.66,0.4,
2708958,"Adobo, with rice",Survey (FNDDS),181,17.69,8.86,7.94,0.2,
2710282,Agave liquid sweetener,Survey (FNDDS),310,0.09,76.37,0.45,0.2,
2710681,Alcoholic coffee drink,Survey (FNDDS),88,0.21,2.1,2.38,0,
2710620,Alcoholic malt beverage,Survey (FNDDS),58,0.9,0.27,0,0,
2710619,"Alcoholic malt beverage, sweetened",Survey (FNDDS),68,0,10.07,0,0,
2709765,"Alfalfa sprouts, raw",Survey (FNDDS),23,3.99,2.1,0.69,1.9,
2705809,Alfredo sauce,Survey (FNDDS),150,2.12,1.77,15,0,
2705810,Alfredo sauce with added vegetables,Survey (FNDDS),122,2.07,2.65,11.54,0.4,
2705811,Alfredo sauce with meat,Survey (FNDDS),171,6.52,1.44,15.34,0,
2705812,Alfredo sauce with meat and added vegetables,Survey (FNDDS),148,6.47,2.15,12.53,0.3,
2705813,Alfredo sauce with poultry,Survey (FNDDS),156,6.87,1.44,13.6,0,
2705814,Alfredo sauce with poultry and added vegetables,Survey (FNDDS),133,6.83,2.15,10.79,0.3,
2705815,Alfredo sauce with seafood,Survey (FNDDS),145,5.91,1.99,12.46,0,
2705816,Alfredo sauce with seafood and added vegetables,Survey (FNDDS),122,5.87,2.7,9.66,0.3,
2707533,Almond butter,Survey (FNDDS),641,20.67,21.11,52.72,9.6,
2707565,"Almond butter and jelly sandwich, on wheat bread",Survey (FNDDS),372,12.04,42.86,17.2,5.8,
2707564,"Almond butter and jelly sandwich, on white bread",Survey (FNDDS),374,10.98,44.88,16.99,4.2,
2707563,"Almond butter sandwich, on wheat bread",Survey (FNDDS),395,14.62,36.97,20.93,6.9,
2707562,"Almond butter sandwich, on white bread",Survey (FNDDS),397,13.34,39.43,20.68,4.9,
2707534,"Almond butter, lower sodium",Survey (FNDDS),645,20.79,21.24,53.04,9.7,
2706797,Almond chicken,Survey (FNDDS),195,15.66,4.46,13.16,1.2,
2705408,"Almond milk, chocolate",Survey (FNDDS),43,0.57,7.44,1.2,0.1,
2705410,"Almond milk, NFS",Survey (FNDDS),20,0.54,1.53,1.21,0,
2705407,"Almond milk, sweetened",Survey (FNDDS),30,0.53,4.31,1.18,0,
2705409,"Almond milk, unsweetened",Survey (FNDDS),15,0.55,0.34,1.22,0,
2710181,Almond oil,Survey (FNDDS),884,0,0,100,0,
2707535,Almond paste,Survey (FNDDS),458,9,47.81,27.74,4.8,
2710326,"Almonds, chocolate covered candy",Survey (FNDDS),560,12.97,44.04,38.81,6.4,
2707490,"Almonds, flavored",Survey (FNDDS),599,20.07,20.12,53.27,10.4,
2707491,"Almonds, honey roasted",Survey (FNDDS),579,14.11,35.84,45.34,7.3,
2707488,"Almonds, lightly salted",Survey (FNDDS),604,20.23,20.28,53.7,10.5,
2707485,"Almonds, NFS",Survey (FNDDS),598,20.96,21.01,52.54,10.9,
2707487,"Almonds, salted",Survey (FNDDS),601,20.13,20.18,53.43,10.5,
2707486,"Almonds, unroasted",Survey (FNDDS),626,21.45,20.03,51.09,10.8,
2707489,"Almonds, unsalted",Survey (FNDDS),607,20.33,20.38,53.96,10.6,
2709833,Aloe vera juice drink,Survey (FNDDS),15,0,3.75,0,0,
2709286,Ambrosia,Survey (FNDDS),75,0.81,16.45,0.98,2,
2710165,Animal fat or drippings,Survey (FNDDS),841,2.23,0,92.18,0,
2707703,Anisette toast,Survey (FNDDS),373,7.63,66.99,8.38,1.4,
2706874,"Antipasto with ham, fish, cheese, vegetables",Survey (FNDDS),158,11.62,3.75,10.7,1.1,
2709319,Apple cider,Survey (FNDDS),46,0.1,11.3,0.13,0.2,
2710591,"Apple juice beverage, 40-50% juice, light",Survey (FNDDS),22,0,5.1,0.1,0,
2709320,"Apple juice, 100%",Survey (FNDDS),48,0.09,11.34,0.25,0.2,
2709321,"Apple juice, 100%, with calcium added",Survey (FNDDS),48,0.12,11.49,0.17,0.3,
2709219,Apple pie filling,Survey (FNDDS),100,0.1,26.1,0.1,1,
2709293,Apple salad with dressing,Survey (FNDDS),180,1.45,12.2,14.24,2,
2709220,"Apple, baked",Survey (FNDDS),113,0.32,22.7,3.08,2.5,
2709294,"Apple, candied",Survey (FNDDS),134,1.34,29.61,2.15,1.8,
2709196,"Apple, dried",Survey (FNDDS),243,0.93,65.89,0.32,8.7,
2709215,"Apple, raw",Survey (FNDDS),61,0.17,14.8,0.15,2.1,
2709218,"Applesauce, flavored",Survey (FNDDS),75,0.25,17.97,0.17,1,
2709216,"Applesauce, regular",Survey (FNDDS),75,0.25,17.97,0.17,1,
2709217,"Applesauce, unsweetened",Survey (FNDDS),52,0.27,12.26,0.16,1.1,
2709341,Apricot nectar,Survey (FNDDS),56,0.17,13.63,0.45,0.1,
2709222,"Apricot, canned",Survey (FNDDS),57,0.65,13.85,0.17,1.5,
2709197,"Apricot, dried",Survey (FNDDS),241,3.39,62.64,0.51,7.3,
2709221,"Apricot, raw",Survey (FNDDS),48,1.4,11.12,0.39,2,
2707828,Arepa Dominicana,Survey (FNDDS),267,5.66,30.47,14,2.4,
2705926,Armadillo,Survey (FNDDS),159,28.08,0,4.34,0,
2709766,Artichoke,Survey (FNDDS),53,2.89,11.95,0.34,5.7,
2705782,Artichoke dip,Survey (FNDDS),331,3.86,5.78,32.67,0.9,
2710039,"Artichokes, stuffed",Survey (FNDDS),160,5.33,22.28,5.94,3.9,
2706817,"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",Survey (FNDDS),116,10.24,8.11,5.26,1.8,
2706816,"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",Survey (FNDDS),130,11.44,9.5,5.46,1.9,
2710036,"Asian stir fry vegetables, cooked, fat added",Survey (FNDDS),71,2.01,9.65,2.84,2.8,
2710035,"Asian stir fry vegetables, cooked, no added fat",Survey (FNDDS),50,2.07,9.93,0.3,2.9,
2709846,"Asparagus, canned, cooked with butter or margarine",Survey (FNDDS),38,2.09,2.4,2.82,1.6,
2709845,"Asparagus, canned, cooked with oil",Survey (FNDDS),45,2.08,2.39,3.54,1.6,
2709840,"Asparagus, canned, cooked, fat added, NS as to fat type",Survey (FNDDS),41,2.09,2.39,3.18,1.6,
2709836,"Asparagus, canned, cooked, no added fat",Survey (FNDDS),19,2.14,2.46,0.65,1.6,
2709842,"Asparagus, fresh, cooked with butter or margarine",Survey (FNDDS),42,2.31,4.05,2.48,2.2,
2709841,"Asparagus, fresh, cooked with oil",Survey (FNDDS),49,2.29,4.04,3.25,2.2,
2709838,"Asparagus, fresh, cooked, fat added, NS as to fat type",Survey (FNDDS),45,2.3,4.04,2.86,2.2,
2709834,"Asparagus, fresh, cooked, no added fat",Survey (FNDDS),21,2.36,4.16,0.13,2.3,
2709844,"Asparagus, frozen, cooked with butter or margarine",Survey (FNDDS),37,2.87,1.87,2.59,1.5,
2709843,"Asparagus, frozen, cooked with oil",Survey (FNDDS),44,2.86,1.86,3.31,1.5,
2709839,"Asparagus, frozen, cooked, fat added, NS as to fat type",Survey (FNDDS),40,2.86,1.86,2.95,1.5,
